Year,United States,Australia,Canada,France,Germany,Italy,Japan,"Korea, Republic of",Mexico,Netherlands,New Zealand,South Africa,Spain,Sweden,Turkey,United Kingdom,group
1970,4093,91,476,530,140,640,590,445,NA,NA,NA,NA,NA,59,NA,NA,unemployment
1971,5016,107,535,580,160,640,640,461,NA,NA,NA,NA,NA,101,NA,1058,unemployment
1972,4882,150,553,610,190,740,730,486,NA,NA,NA,NA,NA,107,NA,1116,unemployment
1973,4365,136,515,590,190,720,680,447,NA,160,NA,NA,NA,98,NA,946,unemployment
1974,5156,162,514,630,420,620,730,479,NA,190,NA,NA,NA,80,NA,948,unemployment
1975,7929,303,690,773,890,690,1000,501,NA,270,NA,NA,NA,67,NA,1174,unemployment
1976,7406,298,716,870,890,790,1080,499,NA,290,NA,NA,NA,66,NA,1414,unemployment
1977,6991,358,836,991,900,840,1100,504,NA,270,NA,NA,686,75,NA,1470,unemployment
1978,6202,405,898,1038,870,850,1240,437,NA,280,NA,NA,915,94,NA,1453,unemployment
1979,6137,408,831,1184,780,920,1170,540,NA,290,NA,NA,1137,88,NA,1432,unemployment
1980,7637,409,854,1276,770,920,1140,748,NA,350,NA,NA,1500,86,NA,1833,unemployment
1981,8273,394,887,1511,1090,1040,1260,660,NA,540,NA,NA,1841,108,NA,2609,unemployment
1982,10678,495,1298,1653,1560,1160,1360,654,NA,630,NA,NA,2094,137,NA,2875,unemployment
1983,10717,697,1437,1731,1900,1270,1560,613,NA,700,NA,NA,2306,151,NA,3081,unemployment
1984,8539,641,1377,2028,1970,1280,1610,568,NA,710,NA,NA,2671,136,NA,3241,unemployment
1985,8312,603,1293,2164,2010,1310,1470,622,NA,600,NA,NA,2854,124,NA,3151,unemployment
1986,8237,613,1205,2199,1860,1680,1630,611,NA,640,70,NA,2809,117,NA,3160,unemployment
1987,7425,629,1123,2243,1800,1760,1570,519,NA,622,71,NA,2792,100,NA,2940,unemployment
1988,6701,576,999,2167,1810,1790,1440,435,NA,609,96,NA,2704,86,NA,2445,unemployment
1989,6528,508,982,2034,1640,1760,1340,463,NA,558,120,NA,2428,74,NA,2082,unemployment
1990,7047,585,1083,1976,1460,1590,1280,454,NA,516,133,NA,2297,84,NA,2053,unemployment
1991,8628,814,1386,2021,2204,1580,1270,461,NA,490,179,NA,2313,147,NA,2530,unemployment
1992,9613,925,1507,2258,2615,1680,1350,490,NA,478,180,NA,2602,261,NA,2822,unemployment
